Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2017,Jan-Jun 2017,Asia,Bangladesh,"Rajshahi","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Asia,Bangladesh,"Rajshahi","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Wild,-,"House Crow",-,-,-,Animal,144,0,0,144,-
2017,Jul-Dec 2017,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Cattle",-,-,-,Animal,-,-,-,-,-
2017,Jul-Dec 2017,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2017,Jul-Dec 2017,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,4000,440,-,3560,-
2017,Jul-Dec 2017,Asia,Bangladesh,"Dhaka","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2017,Jul-Dec 2017,Asia,Bangladesh,"Dhaka","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Wild,-,"House Crow",-,-,-,Animal,92,28,0,64,-
2018,Jan-Jun 2018,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Cattle",-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Wild,-,"Phasianidae (unidentified)",-,-,-,Animal,600,0,0,600,-
2018,Jan-Jun 2018,Asia,Bangladesh,"Dhaka","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Asia,Bangladesh,"Dhaka","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,-,"Phasianidae (unidentified)",-,-,-,Animal,600,0,0,600,-
2018,Jan-Jun 2018,Asia,Bangladesh,"Dhaka","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,-,"House Crow",-,-,-,Animal,-,-,-,-,-
